Year,Tot_fall_ppt,Tot_winter_ppt,Tot_summer_ppt,Mean_fall_temp,Mean_winter_temp,Mean_summer_temp
1991,175.507,37.35199976,258.3979988,13.27550066,0.745250046,15.43350053
1992,206.828001,94.4719975,179.237999,11.94400075,2.175250128,15.34525037
1993,152.0359993,72.84599876,154.3500042,11.77000063,-0.004249975,14.81825101
1994,165.0630035,71.41999936,215.0489998,10.88100067,1.47875008,15.85475063
1995,203.151001,89.06400108,369.2830048,12.83350062,2.2885001,12.84350049
1996,127.6910017,59.11800051,214.9869995,13.14225078,1.124250025,16.48675084
1997,158.7600031,66.56600094,244.7169952,12.63550055,1.477750052,14.71925056
1998,222.1279984,82.97499967,187.5959969,12.64075041,1.023000062,15.33575094
1999,148.4880028,34.4180007,354.1269951,14.2445004,2.902000099,14.56250107
2000,175.3520041,108.6209984,178.4780025,13.87550044,3.226500243,16.51875067
2001,123.7070022,87.49300003,201.7480011,12.42100033,0.29000001,16.50100064
2002,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088
2003,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117
2004,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034
2005,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036
2006,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068
2007,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072
2008,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068
2009,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044
2010,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
2011,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015
2012,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082
2013,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105
2014,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001
2015,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009
2016,116.2959976,62.17699909,247.020998,14.68625033,2.502000123,16.16900063
2017,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078
2018,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029
2019,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486
2020,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968
2021,67.40399933,96.28939724,255.8123894,13.94194984,1.009499963,15.97077453
2022,103.334198,82.71409845,212.1602964,15.25862455,1.965074971,16.43314981
